"userId","movieId","tag","timestamp"
18,4141,"Mark Waters",2009-04-24 18:19:40
65,208,"dark hero",2013-05-10 01:41:18
65,353,"dark hero",2013-05-10 01:41:19
65,521,"noir thriller",2013-05-10 01:39:43
65,592,"dark hero",2013-05-10 01:41:18
65,668,"bollywood",2013-05-10 01:37:56
65,898,"screwball comedy",2013-05-10 01:42:40
65,1248,"noir thriller",2013-05-10 01:39:43
65,1391,"mars",2013-05-10 01:40:55
65,1617,"neo-noir",2013-05-10 01:43:37
65,1694,"jesus",2013-05-10 01:38:45
65,1783,"noir thriller",2013-05-10 01:39:43
65,2022,"jesus",2013-05-10 01:38:45
65,2193,"dragon",2013-05-10 02:01:54
65,2353,"conspiracy theory",2013-05-10 02:01:06
65,2662,"mars",2013-05-10 01:40:55
65,2726,"noir thriller",2013-05-10 01:39:43
65,2840,"jesus",2013-05-10 01:38:45
65,3052,"jesus",2013-05-10 01:38:46
65,5135,"bollywood",2013-05-10 01:37:56
65,6539,"treasure",2013-05-10 01:39:09
65,6874,"dark hero",2013-05-10 01:41:19
65,7013,"noir thriller",2013-05-10 01:39:43
65,7318,"jesus",2013-05-10 01:38:45
65,8529,"stranded",2013-05-10 01:40:12
65,8622,"conspiracy theory",2013-05-10 02:01:06
65,27803,"Oscar (Best Foreign Language Film)",2011-05-10 06:25:15
65,27866,"New Zealand",2011-05-09 16:05:53
65,48082,"surreal",2011-05-09 16:25:54
65,48082,"unusual",2011-05-09 16:25:59
65,51884,"bollywood",2013-05-10 01:37:56
65,58652,"cute",2011-05-09 16:13:32
65,58652,"emotional",2011-05-09 16:13:28
65,58652,"girls who play boys",2011-05-09 16:10:03
65,58652,"Stephen Chow",2011-05-09 16:09:48
96,106696,"animation",2014-03-29 12:51:30
96,106696,"beautiful",2014-03-29 12:51:37
96,106696,"characters",2014-03-29 12:51:40
96,106696,"Disney",2014-03-29 12:51:32
96,106696,"feminist",2014-03-29 12:51:42
96,106696,"Ice",2014-03-29 12:51:45
96,106696,"music",2014-03-29 12:51:48
96,106696,"musical",2014-03-29 12:51:49
96,106696,"pacing",2014-03-29 12:51:57
96,106696,"royalty",2014-03-29 12:52:10
96,106696,"siblings",2014-03-29 12:52:13
96,106696,"storyline",2014-03-29 12:52:17
96,106696,"themes",2014-03-29 12:52:25
96,106696,"unnecessary villain",2014-03-29 12:51:20
96,106696,"voice acting",2014-03-29 12:52:33
96,106696,"writing",2014-03-29 12:52:38
121,778,"dark comedy",2011-03-23 04:00:46
121,778,"drugs",2011-03-23 04:00:44
121,778,"Nudity (Full Frontal - Notable)",2011-03-23 04:00:39
121,778,"Nudity (Full Frontal)",2011-03-23 04:00:41
121,1288,"Christopher Guest",2011-04-01 06:49:19
121,1288,"comedy",2011-04-01 06:48:26
121,1288,"music business",2011-04-01 06:48:43
121,1288,"rock and roll",2011-04-01 06:48:15
121,1288,"satire",2011-04-01 06:48:17
121,1288,"witty",2011-04-01 06:48:20
121,2706,"Nudity (Topless - Notable)",2011-03-22 04:21:21
121,2706,"Nudity (Topless)",2011-03-22 04:21:24
121,2706,"sexuality",2011-03-22 04:21:32
121,2706,"teen comedy",2011-03-22 04:21:28
121,4718,"Nudity (Topless)",2011-03-22 04:21:54
121,4718,"sexuality",2011-03-22 04:21:56
121,5283,"College Humor",2011-03-22 04:22:48
121,5283,"Nudity (Topless)",2011-03-22 04:22:37
121,5283,"R",2011-03-22 04:22:39
121,5283,"Ryan Reynolds",2011-03-22 04:22:35
121,5283,"Teen movie",2011-03-22 04:22:43
121,6188,"college",2011-03-22 04:23:40
121,6188,"Nudity (Topless)",2011-03-22 04:23:19
121,6188,"Seann William Scott",2011-03-22 04:23:35
121,6188,"Vince Vaughn",2011-03-22 04:23:26
121,6188,"Will Ferrell",2011-03-22 04:23:21
121,8641,"Funniest Movies",2011-03-22 04:24:46
121,8641,"hilarious",2011-03-22 04:24:37
121,8641,"One of the worst movies of all time",2011-03-22 04:24:41
121,8641,"seen more than once",2011-03-22 04:24:34
121,8641,"Steve Carell",2011-03-22 04:24:27
121,8641,"Vince Vaughn",2011-03-22 04:24:25
121,8641,"Will Ferrell",2011-03-22 04:24:29
121,35836,"comedy",2011-03-27 03:48:48
121,35836,"crude humor",2011-03-27 03:48:56
121,35836,"Nudity (Topless - Notable)",2011-03-27 03:48:38
121,35836,"Nudity (Topless)",2011-03-27 03:48:41
121,35836,"Seth Rogen",2011-03-27 03:49:01
121,35836,"sex",2011-03-27 03:48:46
121,35836,"sex comedy",2011-03-27 03:48:43
121,35836,"Steve Carell",2011-03-27 03:48:59
121,36529,"arms dealer",2011-03-23 04:04:29
121,36529,"dark comedy",2011-03-23 04:04:24
121,36529,"drugs",2011-03-23 04:04:26
121,36529,"Nicolas Cage",2011-03-23 04:04:22
121,36529,"Nudity (Topless)",2011-03-23 04:04:34
121,46970,"Below R",2011-03-22 04:25:10
121,46970,"Tarantino",2011-03-22 04:25:02
121,46970,"Will Ferrell",2011-03-22 04:25:00
121,52973,"drugs",2011-03-22 04:20:09
121,52973,"Nudity (Topless - Brief)",2011-03-22 04:20:17
121,52973,"Nudity (Topless)",2011-03-22 04:20:11
121,54503,"crude humor",2011-03-22 04:20:56
121,54503,"Highly quotable",2011-03-22 04:20:53
121,54503,"pornography",2011-03-22 04:21:00
121,54503,"Teen movie",2011-03-22 04:20:47
